Years,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH2Cl2,CHCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CFC-12-eq,HFC-134a-eq,CFC-11-eq
1902,296.3249974269664,932.7311580475099,279.86104559197133,0,0,0.000350437993529476,0,0,0,6.34303171457883e-06,0,0,0,0,0,0,3.385035188286965e-05,34.05529999683238,0.0008848810012952505,1.4999999999993377e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02500034398322931,456.9999999999997,6.9127612802201215,5.999999999326715,5.299997817647033,0.004446569999896639,0,0,16.51288247937639,19.15780867126968,32.112968387706125
1903,296.6539968372104,936.7834293693542,280.15604479805677,0,0,0.00035297739927968953,0,0,0,6.388995712510558e-06,0,0,0,0,0,0,3.409743474332856e-05,34.05799999683166,0.0011166411784158852,2.4999999999995204e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000539250091228,457,6.91276128022016,6.000000000894261,5.299997817643923,0.004446569999999938,0,0,16.512882583503863,19.159709175932548,32.11413805719402
1904,296.9539963048155,942.1142733141068,280.4320453165374,0,0,0.00035551680502990315,0,0,0,6.434959710442291e-06,0,0,0,0,0,0,3.4344517603787456e-05,34.06079999683093,0.0013829462109654364,3.5000000000009856e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250002822678021,457.00000000000006,6.912761280220113,5.99999999879448,5.29999781764817,0.004446570000000057,0,0,16.51288244645713,19.16171990693202,32.115375261443866
1905,297.2889957278777,947.4432791909495,280.70504540581857,0,0,0.00035805621078011666,0,0,0,6.480923708374023e-06,0,0,0,0,0,0,3.459160046424636e-05,34.064199996830204,0.0017163676861376039,5.000000000003171e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000625289656908,457.0000000000003,6.9127612802201766,6.0000000001192895,5.299997817642287,0.004446569999999918,0,0,16.51288262901863,19.164181757373097,32.116890471021755
1906,297.6619951368838,953.0924179385862,280.98004539363694,0,0,0.0003605956165303303,0,0,0,6.52688770630575e-06,0,0,0,0,0,0,3.4838683324705265e-05,34.0686999968295,0.0021963609396787515,6.000000000001751e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000160928337303,457,6.912761280220086,5.999999985181678,5.299997817650559,0.004446570000000123,0,0,16.512882378592366,19.167482626217883,32.118921466709295
1907,298.09799448445773,959.1561175087603,281.2760452156198,0,0,0.000363135022280544,0,0,0,6.572851704237483e-06,0,0,0,0,0,0,3.5085766185164156e-05,34.07469999682876,0.0028726063668017515,8.499999999999056e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02500079830643344,457.00000000000017,6.912761280220214,5.999999976546793,5.299997817638755,0.004446569999999817,0,0,16.51288271504062,19.171960139083872,32.12167727333238
1908,298.517994006017,964.0852972266295,281.61104394782683,0,0,0.00036567442803075745,0,0,0,6.618815702169212e-06,0,0,0,0,0,0,3.533284904562307e-05,34.08239999682802,0.0037649905538575013,0.00010999999999997794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024999913572626344,456.99999999999994,6.912761280220031,5.999999954738225,5.299997817655846,0.004446570000000276,0,0,16.512882239573837,19.17773161876226,32.12522836794457
1909,298.9359934554041,969.3983671860328,281.9500446835407,0,0,0.0003682138337809711,0,0,0,6.664779700100943e-06,0,0,0,0,0,0,3.557993190608197e-05,34.08739999682731,0.004334990056691436,0.00012499999999998778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02507337770320996,457.0000000000004,6.912761280220298,5.999999951716099,5.299997817630721,0.0044465699999995745,0,0,16.5129212666374,19.18146312237156,32.12757271116699
1910,299.3769928803734,974.787088093418,282.31404360246773,0,0,0.0003707532395311847,0,0,0,6.710743698032676e-06,0,0,0,0,0,0,3.5827014766540876e-05,34.0982999968265,0.005609989533360356,0.00016000000000004262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025329281630263437,456.99999999999983,6.912761280219903,5.999999921168976,5.299997817668218,0.004446570000000664,0,0,16.513057207962287,19.189649938439924,32.1327780642243
1911,299.8289923372811,979.4653273999169,282.7210423489083,0,0,0.00037329264528139825,0,0,0,6.756707695964405e-06,0,0,0,0,0,0,3.6074097626999774e-05,34.11459999682495,0.007499988982481036,0.00020999999999999863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08124723412768288,457.0000000000003,6.912761280220494,5.999999931289596,5.299997817611417,0.004446569999998958,0,0,16.542763622756052,19.201861441964827,32.17685457690887
1912,300.35299174867805,983.6058602371808,283.0190456236654,0,0,0.0003758320510316118,0,0,0,6.802671693896136e-06,0,0,0,0,0,0,3.632118048745868e-05,34.12979999682336,0.009259988402615264,0.00026499999999998595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000008918502472,456.9999999999996,6.912761280219598,5.999999878972211,5.299997817698752,0.004446570000001663,0,0,16.552726063926904,19.21325982044442,32.19613042972199
1913,300.9099911438063,986.242327051439,283.3620439914887,0,0,0.00037837145678182543,0,0,0,6.8486356918278645e-06,0,0,0,0,0,0,3.656826334791758e-05,34.149799996821805,0.01156998779223068,0.00033000000000000493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11666701654003349,457.0000000000011,6.9127612802209795,5.999999921138374,5.299997817562454,0.004446569999997284,0,0,16.561580379624264,19.228235073876345,32.2162435896153
1914,301.4189907788638,988.6108727542818,283.716043674918,0,0,0.00038091086253203905,0,0,0,6.894599689759597e-06,0,0,0,0,0,0,3.681534620837649e-05,34.171499996820195,0.014084987149716852,0.0003999999999999616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19333053809140374,456.9999999999989,6.912761280218814,5.999999816760957,5.299997817778365,0.004446570000004439,0,0,16.602307849356514,19.24449563975804,32.27637620828988
1915,301.9369903068968,991.4610851937247,284.0470440770779,0,0,0.0003834502682822527,0,0,0,6.940563687691329e-06,0,0,0,0,0,0,3.7062429068835385e-05,34.193999996818555,0.016684986473382672,0.00047499999999998786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3165597066196156,457.000000000002,6.912761280222258,5.999999941074717,5.299997817431184,0.004446569999992607,0,0,16.66777337621163,19.261347768086868,32.367319704929315
1916,302.48498968641667,998.4538273543909,284.3120460201822,0,0,0.0003859896740324663,0,0,0,6.986527685623058e-06,0,0,0,0,0,0,3.7309511929294296e-05,34.2197999968169,0.019669985761451157,0.0005599999999999745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5206524797283182,456.99999999999704,6.912761280216697,5.9999997011808865,5.2999978179978475,0.004446570000012486,0,0,16.7761976019586,19.28067520886007,32.51265871555523
1917,303.01098910113365,1003.5705561134047,284.61504374750956,0,0,0.00038852907978267985,0,0,0,7.032491683554789e-06,0,0,0,0,0,0,3.755659478975319e-05,34.25639999681528,0.023924985012054298,0.0006800000000002504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7563406405843188,457.00000000000506,6.912761280225816,6.000000049031917,5.2999978170590145,0.004446569999978552,0,0,16.901407024365447,19.30812327457475,32.68365373741885
1918,303.44898864914416,1010.1304479973454,284.80504634601874,0,0,0.0003910684855328934,0,0,0,7.0784556814865185e-06,0,0,0,0,0,0,3.780367765021209e-05,34.29749999681378,0.028689984223224826,0.0008150000000001809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9276737285314348,456.99999999999136,6.912761280210638,5.999999432158977,5.299997818637906,0.004446569999886219,0,0,16.992427573136915,19.338925715227887,32.814634376308746
1919,303.8139883347417,1017.6303643750462,284.85105013689014,0,0,0.000393607891283107,0,0,0,7.12441967941825e-06,0,0,0,0,0,0,3.8050760510670996e-05,34.338699996812224,0.03343498339287896,0.0009500000000001821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0843643504177933,457.0000000000146,6.9127612802362846,6.000000403877657,5.29999781594252,0.004446569999633278,0,0,17.07566970891292,19.36975315581612,32.93605696839506
1920,304.2459876807346,1025.0703236736274,284.929048631031,0,0,0.00039614729703332053,0,0,0,7.170383677349982e-06,0,0,0,0,0,0,3.8297843371129894e-05,34.37579999681076,0.0377049825188043,0.0010700000000003734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1760377264188935,456.99999999997453,6.9127612801922815,5.9999991085218305,5.299997820613394,0.0044465700000602066,0,0,17.124370866127943,19.397505908836084,33.01307547144121
1921,304.5999873393976,1032.2003387088657,285.0390482068231,0,0,0.00039868670278353415,0,0,0,7.216347675281711e-06,0,0,0,0,0,0,3.85449262315888e-05,34.41469995967493,0.04218498159873301,0.0011999999999996165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2416695208016746,457.00000000004474,6.912761280268929,6.0044069077397255,5.299997812396865,0.004446569999787021,0,0,17.16033970660469,19.42661676589609,33.07525918714183
1922,304.9449867696023,1039.1002618684895,285.1700490515634,0,0,0.0004012261085337477,0,0,0,7.262311673213442e-06,0,0,0,0,0,0,3.8792009092047696e-05,34.43009972996753,0.043894980630247125,0.0012499999999997069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3888855176328183,456.99999999992,6.912761280133394,6.0167618342154405,5.299997827069101,0.004446570000391511,0,0,17.24163693670751,19.438040639558945,33.182347392599375
1923,305.2709860518484,1045.130075379289,285.46704281518174,0,0,0.00040376551428396133,0,0,0,7.308275671145171e-06,0,0,0,0,0,0,3.90390919525066e-05,34.4571996491632,0.04700497961078171,0.001335000000000285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6249916011262584,457.00000000014444,6.912761280376713,6.035730471846246,5.2999978004724495,0.004446569999268925,0,0,17.371810452667457,19.45829459690012,33.35502492445233
1924,305.62998551836387,1049.450038407143,285.6050480414245,0,0,0.000406304920034175,0,0,0,7.3542396690769034e-06,0,0,0,0,0,0,3.9286174812965505e-05,34.50569962592329,0.05258997853767,0.0014950000000002175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8459543423582172,456.9999999997345,6.912761279933239,6.059961311093257,5.299997849415156,0.004446570001385046,0,0,17.495254619318004,19.49458452403746,33.52928846933752
1925,305.81298501445457,1052.159978172712,285.6520494697739,0,0,0.0004088443257843886,0,0,0,7.4002036670086336e-06,0,0,0,0,0,0,3.9533257673424416e-05,34.56059960639701,0.05885497740808898,0.0016749999999999693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.116421505736905,457.0000000004953,6.912761280753844,6.088124812155577,5.299997757985157,0.004446569997337379,0,0,17.645981174082678,19.535571953175484,33.74002110851743
1926,305.95398452087915,1053.6001237895682,285.69204939399975,0,0,0.0004113837315346022,0,0,0,7.4461676649403645e-06,0,0,0,0,0,0,3.9780340533883314e-05,34.6161995858422,0.06516497621899693,0.0018550000000003175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4603672734685205,456.9999999990616,6.912761279212177,6.11887065452123,5.299997931380814,0.004446570005194241,0,0,17.836388825766743,19.577023444141975,33.99987759733874
1927,306.1769838719398,1055.7705621619934,285.7400495817877,0,0,0.00041392313728481575,0,0,0,7.492131662872097e-06,0,0,0,0,0,0,4.002742339434221e-05,34.676799564205545,0.07201997496736047,0.002050000000000662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.694285726969737,457.00000000180427,6.9127612821528475,6.150859345110521,5.299997597547976,0.004446569989716911,0,0,17.968655173011047,19.622165246902195,34.19044651872264
1928,306.3289833241098,1060.6403636417526,285.83304799644634,0,0,0.00041646254303502947,0,0,0,7.538095660803824e-06,0,0,0,0,0,0,4.027450625480112e-05,34.74499954143112,0.07970497364989591,0.002269999999999713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.026490539763193,456.9999999964768,6.912761276457613,6.182749912459066,5.299998249595922,0.004446570020660324,0,0,18.153111629122936,19.672922673919572,34.44870518902489
1929,306.49498271638004,1066.660342289756,285.89104901123164,0,0.000838775206303658,0.0004190019487852429,0,0,0,7.5840596587355566e-06,0,0,0,0,0,0,4.052158911526003e-05,34.82519951745724,0.08870497226304497,0.002530000000000803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.517713635233386,457.00000000698486,6.91276128765707,6.213214182915789,5.299996971885387,0.00444656995787134,0,0,18.421689951555702,19.733498409760927,34.81654050022912
1930,306.619982384951,1072.6401089097405,285.93805070267496,0,0.00510867646665538,0.00042154135453545665,0,0,0,7.63002365666729e-06,0,0,0,0,0,0,4.076867197571892e-05,34.909299492222296,0.09807997080326009,0.002805000000000607,0,0,0,0,0,0,0,0,0.00131499734585744,0,0,0,0,0,0,4.063463935736138,456.99999998593967,6.912761265294882,6.24088898112733,5.299999024668202,0.004446570087194702,0,0,18.71977133128528,19.80074009908978,35.224789391790985
1931,306.8219821369922,1077.490222375794,286.12404501101315,0,0.001377562769738954,0.00042408076028567016,0,0,0,7.675987654599017e-06,0,0,0,0,0,0,4.1015754836177836e-05,34.986599465657825,0.10662496926657682,0.0030500000000005727,0,0,0,0,0,0,0,0,0.02115156791600151,0,0,0,0,0,0,4.702978099721212,457.0000000287403,6.912761310634217,6.267828854606886,5.306650862098599,0.004446569816826105,0,0,19.084928137492692,19.853806270723688,35.70686925889788
1932,307.092981823192,1081.960228887566,286.22204977892494,0,0.0006616643931112135,0.0004266201660358838,0,0,0,7.72195165253075e-06,0,0,0,0,0,0,4.126283769663672e-05,35.042799437694775,0.11274996764896604,0.0032300000000016725,0,0,0,0,0,0,0,0,0.07499745244337776,0,0,0,0,0,0,5.294213390343121,456.99999994034715,6.912761217289176,6.295786016625686,5.338305336339977,0.004446570390607481,0,0,19.456887362819316,19.894500808679776,36.18970802111902
1933,307.4019812527895,1086.540334355934,286.3710463927559,0,0.000719201038419223,0.00042915957178609734,0,0,0,7.767915650462477e-06,0,0,0,0,0,0,4.1509920557095624e-05,35.076699408261256,0.11636996594636462,0.0033399999999982107,0,0,0,0,0,0,0,0,0.124997952687607,0,0,0,0,0,0,5.937420766939208,457.00000012572804,6.912761412441878,6.325074174008823,5.379978529878909,0.004446569154454358,0,0,19.85330972784843,19.919485147575596,36.69298744816767
1934,307.7849805936337,1091.7703094913102,286.4670491112976,0,0.0007817409424619378,0.0004316989775363109,0,0,0,7.81387964839421e-06,0,0,0,0,0,0,4.1757003417554536e-05,35.11159937727728,0.12012996415396886,0.0034499999999996096,0,0,0,0,0,0,0,0,0.17499789499794574,0,0,0.000761761500079085,0,0,0,6.679798540102799,456.9999997309053,6.9127609981204285,6.355221900437791,5.419978717710499,0.004446571858119012,0,0,20.30310965696644,19.94525636412507,37.26244657111259
1935,308.22697996210127,1097.0801365727675,286.58704803808274,0,0.0008497191719464255,0.00043423838328652447,0,0,0,7.859843646325944e-06,0,0,0,0,0,0,4.2004086278013433e-05,35.15789934466377,0.12510996226738982,0.0036000000000012407,0,0,0,0,0,0,0,0,0.2249979053175771,0,0,0.019080033270370677,0,0,0,7.5958231959891345,457.00000058488007,6.912761891412852,6.38727831620441,5.459979388821851,0.004446565854573082,0,0,20.85715834825267,19.97942244772689,37.96537793491215
1936,309.011979254044,1101.8303141836411,286.7470474428431,0,0.0009236086352511565,0.0004367777890367382,0,0,0,7.90580764425767e-06,0,0,0,0,0,0,4.2251169138472345e-05,35.23359931033267,0.13321496028142635,0.0038450000000019827,0,0,0,0,0,0,0,0,0.27499790803726093,0,0,0.07932233061180428,0,0,0,8.761372125554614,456.9999987089798,6.912759935459292,6.420506388244557,5.499979961805026,0.004446579389549495,0,0,21.571572022710225,20.035181742845324,38.87896971585586
1937,309.76397861585536,1106.3200004124226,286.9510467352014,0,0.0010039232081899335,0.00043931719478695175,0,0,0,7.951771642189403e-06,0,0,0,0,0,0,4.2498251998931236e-05,35.33639927419602,0.1440799581910362,0.004175000000001233,0,0,0,0,0,0,0,0,0.32499791046277604,0,0,0.14000452418003181,0,0,0,10.024959603644945,457.00000289414544,6.912764285039692,6.4552132325834854,5.53998056005453,0.0044465484055515175,0,0,22.338727791291976,20.110653265033303,39.86960544468754
1938,310.2939782047456,1110.630797500528,287.19104526954237,0,0.0010912219322979696,0.0004418566005371653,0,0,0,7.997735640121132e-06,0,0,0,0,0,0,4.274533485939015e-05,35.469799236156,0.15803995599052137,0.0046050000000011065,0,0,0,0,0,0,0,0,0.3749979145116182,0,0,0.2000043055965995,0,0,0,11.266163161790937,456.9999934105893,6.912754461784327,6.491689816060095,5.579981151696633,0.0044466204796957875,0,0,23.093985043197996,20.208356080648635,40.85927764125824
1939,310.85097758435154,1116.9096799987735,287.3870472462856,0,0.0011861117397994404,0.0004443960062873789,0,0,0,8.043699638052865e-06,0,0,0,0,0,0,4.299241771984903e-05,35.62149919611423,0.1736899536741774,0.0050950000000019495,0,0,0,0,0,0,0,0,0.4249979163563615,0.00044377172031254364,0,0.26000453713337646,0,0,0,12.575761909157771,457.00001523844907,6.912776967657021,6.530165763080685,5.619981745105608,0.004446447669631281,0,0,23.88651106487596,20.319106809925817,41.90284857826322
1940,311.35697686861346,1120.1201839144849,287.6190462262877,0,0.0012892556240319643,0.00044693541203759244,0,0,0,8.089663635984597e-06,0,0,0,0,0,0,4.323950058030795e-05,35.80499915396508,0.19239995123595924,0.00568999999999981,0,0,0,0,0,0,0,0,0.47499792104179805,0.009225911914842897,0,0.32000424637137076,0,0,0,14.090854736848227,456.99996418669093,6.912726090142488,6.570712181478694,5.659982337971968,0.004446993614271746,0,0,24.796792383118234,20.452719323663484,43.10541790147688
1941,311.8109762773884,1123.2405121162499,287.86404487534514,0,0.0014013840643824545,0.00044947481778780606,0,0,0,8.135627633916323e-06,0,0,0,0,0,0,4.3486583440766853e-05,35.991299109597,0.2110699493102036,0.006290000000001838,0,0,0,0,0,0,0,0,0.5249979220138364,0.04815833141483004,0,0.38000460100015726,0,0,0,15.872149166508507,457.00008643703904,6.923158517006571,6.61288900937548,5.699982931166449,0.012151915856564383,0,0,25.88607972441539,20.58786319457937,44.529244703637005
1942,312.171975739582,1128.1901304333987,288.1380501923613,0,0.0015232670601041153,0.0004520142235380196,0,0,0,8.181591631848056e-06,0,0,0,0,0,0,4.373366630122576e-05,36.238899062893914,0.23562495106182535,0.007099999999999255,0,0,0,0,0,0,0,0,0.5749979279446524,0.11260084712231211,0,0.44000413527659615,0,0,0,18.120430346585746,456.99974056992374,6.954429555292099,6.6573542782774995,5.739983523826503,0.018664849919473172,0,0,27.24959701097227,20.7670621063025,46.31769607892125
1943,312.3899751756712,1132.6601539368896,288.7810313014108,0,0.0016557506162213273,0.00045455362928823324,0,0,0,8.227555629779783e-06,0,0,0,0,0,0,4.398074916168465e-05,36.56109901373181,0.26703995310544654,0.008160000000002008,0,0,0,0,0,0,0,0,0.624997927106953,0.20245546282968085,0,0.5000047381949125,0,0,0,20.794118899533316,457.93200068883124,7.00584480838462,6.704339452846324,5.779984117728308,0.023900681692603638,0,0,28.894235690875647,20.999391692729144,48.484838815064876
1944,312.41297475170353,1136.2700633914933,289.00005077585485,0,0.0017997567323342187,0.0004570930350384468,0,0,0,8.273519627711516e-06,0,0,0,0,0,0,4.422783202214357e-05,36.99279896198454,0.30831495487013827,0.009594999999999423,0,0,0,0,0,0,0.0194336570710222,0,0.674997935712172,0.3176470785372922,0,0.5600039150884286,0,0,0,23.864783221930367,460.74250381742075,7.0765773305130475,6.753844851177473,5.819984708555449,0.027877628335927093,0,0,30.853740976422216,21.309390490145777,51.06338777159886
1945,312.38497460847424,1139.3203471739023,289.22704458625566,0,0.0019562874889504497,0.0004596324407886606,0,0,0,8.319483625643249e-06,0,0,0,0,0,0,4.447491488260247e-05,37.297698907509684,0.3363799563723828,0.010604999999994017,0,0,0,0,0,0,0.4215002163804537,0.004844144891343334,0.7249979308517472,0.45805569424466847,0,0.6200050411310313,0,0,0,25.904248499117855,463.24369668357025,7.165842312241064,6.8057700557813225,5.859985307157177,0.031010341997867386,0,0,32.66833211233084,21.52669400083864,52.93560479553193
1946,312.3899739645146,1143.6604799274162,289.4270460896135,0,0.0021264323133189855,0.00046217184653887404,0,0,0,8.365447623574976e-06,0,0,0,0,0,0,4.4721997743061376e-05,37.39169885017023,0.3442649576127515,0.010915000000001876,0,0,0,0,0,0,1.6357106676033348,0.08337228931330991,0.7749979456178372,0.6235543099519205,0,0.6800034384111746,0,0,0,27.504756711000592,465.7432891672135,7.2728489327437735,6.860763933716188,5.8999858857742735,0.0322916978008711,0,0,35.14674625568286,21.592625325337227,54.5321209239977
1947,312.4859731842821,1149.640289340318,289.5110490247808,0,0.0023113752004821513,0.00046471125228908765,0,0,0,8.411411621506709e-06,0,0,0,0,0,0,4.496908060352027e-05,37.50009878981438,0.35365495859113577,0.011285000000000526,0,0,0,0,0,0,2.835014024896138,0.30001104344557666,0.8249979311485179,0.8140119256594329,0,0.7400057485750905,0,0,0,29.0785610675466,468.2434297243401,7.3968032494359655,6.918758502826884,5.939986516588345,0.032812486784421106,0,0,37.73413020759922,21.66912985805037,56.2876075221271
1948,312.5209725341484,1155.6301779691464,289.55604905463605,0,0.002512403053870646,0.00046725065803930116,0,0,0,8.457375619438438e-06,0,0,0,0,0,0,4.521616346397917e-05,37.67049872627987,0.36831495930716757,0.011869999999995778,0,0,0,0,0,0,4.025014261757746,0.5000130091877589,0.8749979611707429,1.0316545413673504,0,0.8000023077291404,0,0,0,31.04114319609809,470.7433788674962,7.536917530165616,6.979702715799866,5.979987008874509,0.032833277533528646,0,0,40.53335687703229,21.789138109152585,58.3420451321241
1949,312.6319720553128,1160.3499455395743,289.5980505491615,0,0.002730915100659788,0.00046979006378951483,0,0,0,8.50333961737017e-06,0,0,0,0,0,0.0002747740887661986,4.546324632443807e-05,37.85519865940089,0.38362495976089694,0.012514999999996309,0,0,0,0,0,0,5.215013000513583,0.7000119717268064,0.9249979222595934,1.2518172525248137,0,0.8600076080363142,0,0,0,33.192336696044364,473.24340186466014,7.692389308404702,7.044185648024676,6.019987885942549,0.032095154385140684,0,0,43.43686540576635,21.919309285372503,60.531085597463395
1950,312.82097134137496,1163.820557721017,289.7390465554603,0,0.003054187561569078,0.0004723294695397284,0,0,0,8.549303615301903e-06,0,0,0,0,0,0.0019235044724344576,4.5710329184896966e-05,38.02389858900322,0.39696995995257517,0.013104999999996524,0,0,0,0,0,0,6.382257180363741,0.8938818449171735,0.9749979864234543,1.482466435589557,0,0.9275005914525876,0,0,0,35.499832591596366,475.7314635341459,7.862438424735143,7.112189384973282,6.059987795993483,0.03030576716037418,0,0,46.41166811147795,22.042326471470172,62.83147589766067
1951,313.01397060638436,1168.810107873491,289.8600484808057,0,0.006885135301845827,0.00047486887528994207,0,0,0,8.59526761323363e-06,0,0,0,0,0,0.005466860373937273,4.5957412045355884e-05,38.2042985149053,0.4106449598821951,0.013744999999996566,0,0,0,0,0,0,7.775353188713204,1.1468555319519556,1.0244279802027965,1.7349158712999226,0,0.9349977032552204,0,0,0,37.580825774938404,478.31164263155665,8.046262789611434,7.183522626682912,6.0999905385928885,0.028203127220273055,0,0,49.525945817092094,22.18322376817357,65.03655939995775
1952,313.3419700215665,1174.3108833350448,290.02504870229745,0,0.020875123901776215,0.0004774082810401557,0,0,0,8.641231611165362e-06,0,0,0,0,0,0.014999347984736412,4.620449490581478e-05,38.40699843690688,0.42523995954943167,0.01446499999999591,0,0,0,0,0,0,9.44440043412576,1.5540266565232148,1.0793176962198507,1.984303842513553,0,0.920000259512949,0,0,0,38.706895249886266,481.1606415880703,8.243066930223788,7.259722577330443,6.139426121363905,0.02677675096166886,0,0,52.532987527743764,22.37100751495444,66.79888104750182
1953,313.72996942762325,1183.3606479982134,290.334042236607,0,0.04651178971782217,0.00047994768679036925,0,0,0,8.68719560909709e-06,0,0,0,0,0,0.024999433982102765,4.6451577766273693e-05,38.61429835480007,0.43920995895413184,0.015209999999994584,0,0,0,0,0,0,11.213325259535567,2.1294366702490204,1.1389276076167187,2.2399121684206773,0,0.9262516825581363,0,0,0.0011634245162483949,40.051760419025634,484.17644570030035,8.459376397696937,7.340943328745393,6.184987498261907,0.024952414238473154,0,0,55.9254987545469,22.575214277634394,68.9228069339428
1954,314.09496881292915,1194.430622254691,290.5480485632174,0,0.08213070201671008,0.00048248709254058276,0,0,0,8.733159607028824e-06,0,0,0,0,0,0.03499938833525298,4.669866062673257e-05,38.841298268374146,0.4534849580967025,0.016020000000000912,0,0,0,0,0,0,13.203927922755343,2.8635964296843746,1.2079770557281724,2.494911856339302,0,0.9637557780696578,0,0,0.01743291144119843,41.542467205081,488.50885184393627,8.702843830327348,7.4273930483754524,6.229988308529656,0.02349997941408015,0,0,59.82355145539372,22.80232215828596,71.41019644526936
1955,314.41496797205656,1206.6509180413605,290.8440442299008,0,0.12745991431551584,0.0004850264982907964,0,0,0,8.779123604960557e-06,0,0,0,0,0,0.04499943562647964,4.694574348719149e-05,39.07069817740244,0.4667149569772518,0.016830000000002912,0,0,0,0,0,0,15.439632179024187,3.767790831646064,1.2937463530649407,2.7499121898198235,0,1.0538601078206213,0,0,0.10808019154991987,43.172958770569316,493.25498227757845,8.963726222542636,7.519442579212899,6.274988798716971,0.021999980766372034,0,0,64.26150247104114,23.040071642062916,74.26696136990573
1956,314.69796718671785,1221.1007979758153,291.1870440928562,0,0.18228902661435717,0.00048756590404100994,0,0,0,8.825087602892282e-06,0,0,0,0,0,0.05499937865176006,4.719282634765038e-05,39.300198081637106,0.4787949555949031,0.017624999999938076,0,0,0,0,0,0,18.007138376709232,4.900767458846016,1.3882061192287194,3.0061629214076273,0,1.1860103829278226,0,0,0.28904243168721316,44.93925633901366,496.95969778292823,9.237827858536658,7.616433567948767,6.319989705796682,0.02045831859600409,0,0,69.31588831173275,23.286741263785164,77.4795330054352
1957,314.9919665239882,1235.8001706154535,291.51204398982986,0,0.2464121389132643,0.0004901053097912235,0,0,0,8.871051600824015e-06,0,0,0,0,0,0.06499945046946314,4.7439909208109304e-05,39.52009798083528,0.4893099539504914,0.018359999999581527,0,0,0,0,0,0,20.977540118437833,6.239397350008961,1.4974753956298865,3.2499133848726847,0,1.3464653783775902,0,0,0.5636700916730782,46.82995224337012,500.6978186241726,9.522201381342693,7.718483877773898,6.3649897619728515,0.019499981122298424,0,0,75.05098851758919,23.535916778587485,81.03557758577857
1958,315.3449658691439,1247.420460847018,291.7720453657424,0,0.3196182512121893,0.0004926447155414373,0,0,0,8.917015598755744e-06,0,0,0,0,0,0.07499935723820593,4.768699206856819e-05,39.71509787472474,0.4977349520433869,0.018969999999170217,0,0,0,0,0,0,24.184340089254302,7.567232602978994,1.6274844663516195,3.4969948454278192,0,1.5845945418145562,0,0,0.8801461569265351,48.83994929991422,504.50393422309776,9.81755797122585,7.825045868810181,6.40999238762927,0.018499995694896017,0,0,81.16413822578114,23.777819452006195,84.76148660003683
1959,315.8069651231652,1257.3200746140494,291.98704752708886,0,0.4016993635109887,0.0004951841212916507,0,0,0,8.962979596687477e-06,0,0,0,0,0,0.08499948196910771,4.793407492902711e-05,39.904897763030185,0.5052399498739399,0.019529999998745672,0,0,0,0,0,0,27.60905121485652,8.797124083712774,1.777483686985614,3.7265921128328565,0,1.9060347639676198,0,0,1.2386097597212749,50.97114550480765,508.36371690629863,10.130433230570096,7.935598473352279,6.454298414812666,0.017499989964852587,0,0,87.54997583006748,24.025257273364012,88.55821938694521
