Years,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH2Cl2,CHCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CFC-12-eq,HFC-134a-eq,CFC-11-eq
1860,285.73899972727025,822.3121234894561,274.05604762435826,0,0,0.00024378295202050494,0,0,0,4.412543801446143e-06,0,0,0,0,0,0,2.3472871743595744e-05,34.04999999684028,0.00010543340312873428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153493850167916,32.11031317164492
1861,285.9329997120946,824.3991866552136,274.24004658389106,0,0,0.0002463223577707186,0,0,0,4.458507799377874e-06,0,0,0,0,0,0,2.371995460405465e-05,34.04999999684009,0.0001163600754416074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153513052479823,32.11032498845225
1862,286.09999970202233,827.0291976919972,274.4160469750263,0,0,0.0002488617635209322,0,0,0,4.504471797309604e-06,0,0,0,0,0,0,2.3967037464513553e-05,34.05009999683992,0.00012738162275448058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15358865303393,32.11037151187016
1863,286.2709996839747,830.1662127301234,274.57104742407716,0,0,0.00025140116927114577,0,0,0,4.550435795241334e-06,0,0,0,0,0,0,2.4214120324972458e-05,34.05009999683975,0.0001385043350673519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153608161658344,32.11038351717749
1864,286.4419996623682,833.6041327607869,274.720047608922,0,0,0.0002539405750213594,0,0,0,4.596399793173065e-06,0,0,0,0,0,0,2.4461203185431355e-05,34.050099996839585,0.00014973450238022572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153627838181208,32.110395625806945
1865,286.6139996432233,836.8941987226841,274.88004730543366,0,0,0.000256479980771573,0,0,0,4.642363791104796e-06,0,0,0,0,0,0,2.4708286045890257e-05,34.05009999683941,0.00016107845969310104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153647692500932,32.11040784384985
1866,286.78099962778214,840.3622090171802,275.0480470504543,0,0,0.00025901938652178656,0,0,0,4.688327789036526e-06,0,0,0,0,0,0,2.495536890634916e-05,34.05009999683923,0.00017254241700596953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153667734320663,32.11042017727738
1867,286.95499960609095,843.9951218411564,275.2130474422919,0,0,0.0002615587922720001,0,0,0,4.734291786968256e-06,0,0,0,0,0,0,2.5202451766808062e-05,34.05019999683906,0.0001841327743188493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153744223640395,32.11046724762798
1868,287.1049995897387,847.2491306405715,275.3910467708833,0,0,0.00026409819802221374,0,0,0,4.780255784899987e-06,0,0,0,0,0,0,2.5449534627266967e-05,34.050199996838884,0.0001958557316317205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15376467014762,32.110479830093965
1869,287.22499956904676,850.130080298651,275.5610470783127,0,0,0.0002666376037724273,0,0,0,4.826219782831718e-06,0,0,0,0,0,0,2.5696617487725864e-05,34.0501999968387,0.0002077176389446011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15378533376422,32.11049254616572
